cargo,circunscripcion,departamento,partido,nombre,votos_esc,votos_pre,votos_partido_original,foto,perfil,participacion_politica,casa_politica,familia_apoyos,formula,sector,apoyo_presidencia_primera,apoyo_presidencia_segunda,observacion_adicional,asesor,corporacion,partido_corto,nombre_titulo,territorio_lectura,grupo_lista_id,votos_lista_grupo,votos_partido_visible,es_lider_lista,tipo_votacion,tiene_foto,foto_path,alerta_voto_individual,alerta_voto_partido,alerta_foto,orden_original
CÁMARA DE REPRESENTANTES,TERRITORIAL,CHOCO,PARTIDO LIBERAL COLOMBIANO,OMAR FRANCISCO VIDAL ROJAS,42880.0,41424.0,84150.0,,"Abogado especialisata en Derecho Contencioso Administrativo, magister en responsabilidad contractual y extracontractual civil y del estado, fue delegado departamental del CNE.","- Concejal Bahia Solano 1995 - electo N/A votos
- Diputado 2000 - electo N/A votos.
- Alcalde Bahia Solano 2012 electo - 1.447 votos",Cordobismo,Nubia Cordoba,,IZQUIERDA,IVAN CEPEDA,IVAN CEPEDA,Por definir candidato,JULIAN,Cámara,Liberal,Omar Francisco Vidal Rojas,CHOCO,Cámara | TERRITORIAL | CHOCO | PARTIDO LIBERAL COLOMBIANO,84150.0,84150.0,True,Voto individual reportado,True,assets/fotos/077_omar_francisco_vidal_rojas.png,OK,OK,OK,77
CÁMARA DE REPRESENTANTES,TERRITORIAL,CONSULADOS,PARTIDO CENTRO DEMOCRÁTICO,PEDRO ALEJANDRO MURCIA LAMPREA,,,61113.0,,Líder social y empresario. Construyó su trayectoria pública gestionando proyectos con la diáspora colombiana. Vive en Florida EEUU,No registra,No Registra,No registra,N/R,DERECHA,PALOMA VALENCIA,ABELARDO DE LA ESPRIELLA,,LUZ MA,Cámara,Centro Democrático,Pedro Alejandro Murcia Lamprea,CONSULADOS,Cámara | TERRITORIAL | CONSULADOS | PARTIDO CENTRO DEMOCRÁTICO,61113.0,61113.0,True,Lista cerrada / sin voto individual,True,assets/fotos/078_pedro_alejandro_murcia_lamprea.png,Sin voto individual,OK,OK,78
CÁMARA DE REPRESENTANTES,TERRITORIAL,CORDOBA,COLOMBIA RENACIENTE,JUAN DAVID RANGEL YANEZ,131597.0,128203.0,340337.0,,N/R,"Concejal de Montería (Periodo 2020 - 2023)
Presidente del Concejo de Montería (2023)
Reelección al Concejo (Periodo 2024 - 2027) 4.811
Representante a la Cámara (2026 - 2030) 128.203",,,,DERECHA,PALOMA VALENCIA,ABELARDO DE LA ESPRIELLA,,KARIM,Cámara,COLOMBIA RENACIENTE,Juan David Rangel Yanez,CORDOBA,Cámara | TERRITORIAL | CORDOBA | COLOMBIA RENACIENTE,340337.0,340337.0,True,Voto individual reportado,True,assets/fotos/079_juan_david_rangel_yanez.png,OK,OK,OK,79
CÁMARA DE REPRESENTANTES,TERRITORIAL,CORDOBA,COLOMBIA RENACIENTE,MARTHA ISABEL RUIZ SOLERA,104708.0,101053.0,,,"Psicologa
Especialización en Gerencia Administrativa en Salud
Especialización en Gobierno y Gestión Pública Territorial

Representante a la Cámara por Córdoba (Periodo 2026–2030)Gestora Social de la Gobernación de Córdoba (2020–2023)
Jefa de Bienestar Universitario de la Universidad de Córdoba (2013–2018)",Cordoba - Representante a la cámara - 2026 - 2030 - 101.053 votos,Orlando Benitez,ORLANDO BENITEZ (ESPOSO),,DERECHA,PALOMA VALENCIA,ABELARDO DE LA ESPRIELLA,,KARIM,Cámara,COLOMBIA RENACIENTE,Martha Isabel Ruiz Solera,CORDOBA,Cámara | TERRITORIAL | CORDOBA | COLOMBIA RENACIENTE,340337.0,,False,Voto individual reportado,True,assets/fotos/080_martha_isabel_ruiz_solera.png,OK,OK,OK,80
CÁMARA DE REPRESENTANTES,TERRITORIAL,CORDOBA,PACTO HISTÓRICO,LUIS FERNANDO BALLESTEROS MEZA,,,177689.0,,"Líder social y comunitario, vinculado a organizaciones populares de vivienda (OPV) y procesos de participación ciudadana",Representante a la Cámra 2026 - 2030 - 46.692 votos,N/R,N/R,,IZQUIERDA,IVAN CEPEDA,IVAN CEPEDA,,KARIM,Cámara,PACTO HISTÓRICO,Luis Fernando Ballesteros Meza,CORDOBA,Cámara | TERRITORIAL | CORDOBA | PACTO HISTÓRICO,177689.0,177689.0,True,Lista cerrada / sin voto individual,True,assets/fotos/081_luis_fernando_ballesteros_meza.png,Sin voto individual,OK,OK,81
CÁMARA DE REPRESENTANTES,TERRITORIAL,CORDOBA,PARTIDO CAMBIO RADICAL,JOSE LUIS ABDALLA OLIVERA,,,129082.0,,"Arquitecto
Especialización en Gerencia para Ingenieros
Consultor y Diseñador Independiente / Constructor (Sector Privado)
Líder y Gestor Político de Base (Sector Privado / Político)",Representante a la Cámara por Córdoba (Periodo 2026–2030),,Julio Manzur Abdala (TIO),,DERECHA,PALOMA VALENCIA,ABELARDO DE LA ESPRIELLA,,KARIM,Cámara,Cambio Radical,Jose Luis Abdalla Olivera,CORDOBA,Cámara | TERRITORIAL | CORDOBA | PARTIDO CAMBIO RADICAL,129082.0,129082.0,True,Lista cerrada / sin voto individual,True,assets/fotos/082_jose_luis_abdalla_olivera.png,Sin voto individual,OK,OK,82
CÁMARA DE REPRESENTANTES,TERRITORIAL,CORDOBA,PARTIDO CONSERVADOR COLOMBIANO,NICOLAS ANTONIO BARGUIL CUBILLOS,85669.0,83312.0,120830.0,,"Profesional en Marketing y Negocios Internacionales
Especialista en Gerencia Pública
MBA / Magíster en Administración de Empresas","Representante a la Cámara por Córdoba (2022–2026)
Gerente General en empresas del sector agroindustrial.
Asesor y consultor empresarial en compañías privadas vinculadas al sector productivo y agropecuario.",N/R,N/R,,DERECHA,PALOMA VALENCIA,ABELARDO DE LA ESPRIELLA,,KARIM,Cámara,Conservador,Nicolas Antonio Barguil Cubillos,CORDOBA,Cámara | TERRITORIAL | CORDOBA | PARTIDO CONSERVADOR COLOMBIANO,120830.0,120830.0,True,Voto individual reportado,True,assets/fotos/083_nicolas_antonio_barguil_cubillos.png,OK,OK,OK,83
CÁMARA DE REPRESENTANTES,TERRITORIAL,CUNDINAMARCA,PACTO HISTÓRICO,HEINER DE JESUS GAITAN PARRA,,,292770.0,,Estudió Ciencia Política con Maestría en Estudios Políticos. Fue representante de los estudiantes de su alma mater. Integró la Plataforma Juvenil de Soacha (2010-2011); la Asociación Colombiana de Estudiantes Universitarios (2011-2016); Tejiendo Territorios (2013); fue uno de los gestores de la Red Juvenil de Suacha (2013 -2017). Sus procesos de base fueron el Colectivo Disidencia Juvenil y actualmente Suacha Común Alternativa. Impulsor de la actual Plataforma Juvenil de Soacha. Es tmb Columnista y analista político en medios de comunicación local y nacional.,Concejal de Soacha 2020-2023 con 1789 votos; candidato a la Alcaldía de Soacha 2023 por PH con 190441 votos,No registra,Petro,N/R,IZQUIERDA,IVAN CEPEDA,IVAN CEPEDA,"Alfil de Petro en Soacha: Hiener Gaitán, tiene investigación disciplinaria por parte del Polo que abrió tras acusar a Moreno de que el alcalde de Soacha, Víctor Julián “Perico” Sánchez, le puso votos en la consulta. Tras esto, instauró una denuncia ante el Consejo Nacional Electoral por violencia política.",LUZ MA,Cámara,PACTO HISTÓRICO,Heiner De Jesus Gaitan Parra,CUNDINAMARCA,Cámara | TERRITORIAL | CUNDINAMARCA | PACTO HISTÓRICO,292770.0,292770.0,True,Lista cerrada / sin voto individual,True,assets/fotos/084_heiner_de_jesus_gaitan_parra.png,Sin voto individual,OK,OK,84
CÁMARA DE REPRESENTANTES,TERRITORIAL,CUNDINAMARCA,PACTO HISTÓRICO,FRANCY NATALIA MORENO PUIN,,,,,Ingeniera Industrial. Líder social y estudiantil. La mujer más votada en la lista del Pacto. Activista o gestora social en Soacha. Inicio en el PD donde fue Presidenta departamental.,"Concejal de Soacha 2023 por PH, en lista cerrada.",No registra,Petro,N/R,IZQUIERDA,IVAN CEPEDA,IVAN CEPEDA,,LUZ MA,Cámara,PACTO HISTÓRICO,Francy Natalia Moreno Puin,CUNDINAMARCA,Cámara | TERRITORIAL | CUNDINAMARCA | PACTO HISTÓRICO,292770.0,,False,Lista cerrada / sin voto individual,True,assets/fotos/085_francy_natalia_moreno_puin.png,Sin voto individual,OK,OK,85
CÁMARA DE REPRESENTANTES,TERRITORIAL,CUNDINAMARCA,PACTO HISTÓRICO,YEISSON GERARDO SUA CAJAMARCA ZAPATA,,,,,"Abogado, Líder social y político en Facatativá. Se vinculó a procesos de defensa comunitaria y causas sociales, se desempeñó como Coordinador del Grupo de Articulación Interna para la Política de Víctimas del Conflicto Armado de Mininterior",No registra,No registra,N/R,N/R,IZQUIERDA,IVAN CEPEDA,IVAN CEPEDA,,LUZ MA,Cámara,PACTO HISTÓRICO,Yeisson Gerardo Sua Cajamarca Zapata,CUNDINAMARCA,Cámara | TERRITORIAL | CUNDINAMARCA | PACTO HISTÓRICO,292770.0,,False,Lista cerrada / sin voto individual,True,assets/fotos/086_yeisson_gerardo_sua_cajamarca_zapata.png,Sin voto individual,OK,OK,86
